Date,Fut1,Fut2,Fut3,Fut4,Fut5,Fut6,Fut7
01/01/2020,93.07591987,89.63495401,89.43232921,90.80669299,89.77525023,90.42726815,93.09906919
01/02/2020,91.77196957,91.33486541,89.27360871,93.6129042,91.21145025,92.44863475,92.8780685
01/03/2020,93.66801314,93.97889894,91.43522444,93.5112853,90.88160301,91.16617525,91.47313801
01/06/2020,92.44677597,90.41318594,90.7995424,90.18685536,90.94401935,89.88263924,90.86576642
01/07/2020,90.3562271,89.78647838,89.09043549,90.44966197,90.57875409,93.36191627,93.22247481
01/08/2020,90.92576978,93.94862274,90.25854973,92.19521577,91.21809997,91.72762658,91.57943261
01/09/2020,91.30460793,89.23146721,91.44812864,89.4169202,93.8403495,91.07221425,92.58313465
01/10/2020,91.85755046,91.32345676,90.17240281,92.02243647,91.54122009,89.55392818,90.23531834
01/13/2020,90.06323729,92.49641029,92.66512143,90.49543618,93.66739128,90.98059201,92.79293525
01/14/2020,92.40043866,91.09966426,91.05201174,91.20024241,89.48111265,90.25449528,89.7912028
01/15/2020,89.64347248,90.6303132,89.70944564,93.1008505,93.57864771,92.61890557,89.40778436
01/16/2020,93.98261793,90.48989426,91.46890055,90.94881987,93.67663921,91.79158176,89.90879711
01/17/2020,92.21264756,89.1815556,90.89299388,92.43142892,90.09250337,92.62326286,89.0563233
01/20/2020,89.02616691,93.13684657,89.55716776,89.22318885,93.40322831,93.97072455,91.18484435
01/21/2020,92.48849437,93.06914595,93.50295715,93.72808225,92.00432623,91.82237805,92.55858195
01/22/2020,89.02857636,92.63791863,89.14381441,93.76542025,91.79112902,90.42641302,89.25944751
01/23/2020,93.73565422,89.64113047,92.73290558,90.45972218,89.75439897,93.57274408,89.91882002
01/24/2020,91.3414042,89.44909109,91.81373538,89.07729196,91.229293,89.76880693,91.18658553
01/27/2020,91.04897107,91.99670596,92.48693921,89.58908337,89.78863206,93.25774239,93.97657343
01/28/2020,93.49008849,89.85093214,91.83888845,92.58307247,93.78780528,92.1226385,92.49012826
01/29/2020,90.34234695,90.39534395,91.777675,93.23769662,89.61201178,91.34132697,93.59089618
01/30/2020,92.23122794,92.67322223,92.38079394,91.74271476,91.44965972,90.47065422,89.95882999
01/31/2020,90.65480752,90.10603998,90.08195146,93.49844926,93.25316067,89.65845296,89.81587582
02/03/2020,89.47653366,92.23451776,90.67442103,92.98402558,90.11906972,92.65373277,91.41789889
02/04/2020,90.35677592,89.41203924,93.64326837,91.22354329,92.28741808,93.87857563,89.04004766
02/05/2020,89.71869119,93.501973,92.76871254,89.00213523,92.92739828,91.75583689,91.40603271
02/06/2020,91.046977,92.48378191,93.25382906,91.22909832,93.85674583,92.33530211,91.79233382
02/07/2020,90.1110164,89.77374166,89.09838682,93.96684747,93.14902301,90.72567938,91.39523845
02/10/2020,93.05963889,89.11172831,89.09881369,89.93247874,90.61109032,93.57769973,89.19090696
02/11/2020,89.24063254,91.73111728,93.06738079,93.46278869,93.49076891,90.87126375,89.91472043
02/12/2020,93.64205155,89.67777425,92.29891001,91.44490783,91.44862913,89.01747863,90.54540469
02/13/2020,91.24542292,93.68317872,93.05722974,89.72403017,93.59094311,90.58844621,92.86520011
02/14/2020,90.12022727,92.76386537,92.0602926,93.49987123,91.9956379,91.67192278,93.8216023
02/17/2020,91.40271151,89.83642938,92.83161148,90.7600998,90.11308302,90.16086829,93.48051676
02/18/2020,91.42129755,90.34590164,90.78545091,92.12934785,89.64882218,92.3760369,90.80165725
02/19/2020,92.19677952,93.16359433,93.5372004,93.62592102,90.92867624,89.8769235,91.77751848
02/20/2020,91.81136883,91.79776483,90.83252657,90.6555482,90.51858576,89.47338284,92.75835648
02/21/2020,92.26428434,93.533518,92.7313649,91.21546691,89.0562911,91.974212,93.60861464
02/24/2020,91.0661187,92.89925261,91.12602115,89.3182982,89.89386903,91.27476521,89.30576525
02/25/2020,90.99455505,89.91027883,93.45644849,92.71300116,91.70326968,92.60041204,91.67488045
02/26/2020,92.38318156,90.15289125,93.3431109,93.13894115,89.91108533,90.46147205,89.33765495
02/27/2020,89.47399784,89.33481928,92.98275033,93.83486489,90.45477114,90.94039108,91.27566666
02/28/2020,89.63864235,90.479035,91.10528476,93.17443039,89.42520265,90.00155443,91.24219936
03/02/2020,90.2980043,90.75333757,90.83656302,89.96544413,90.22436696,93.10072534,89.70791357
03/03/2020,93.99598436,90.62044171,93.48933725,92.90735934,93.71042765,93.80641418,93.68010441
03/04/2020,92.62070236,90.95372193,93.38139705,92.17208118,92.10670133,91.44819295,91.92663488
03/05/2020,90.72743205,93.12945003,90.16914154,93.98096877,92.94597728,92.4548532,90.22862222
03/06/2020,89.77087299,92.73186391,89.03497442,90.19783993,89.66324472,91.00207199,91.43116885
03/09/2020,92.64611208,92.63611803,90.69002276,91.3948061,93.29200268,93.36379639,93.58256717
03/10/2020,93.80650977,89.4111411,90.39580303,90.28651372,93.06153485,91.74476571,90.6793376
03/11/2020,89.54052438,89.32478295,93.6877261,89.69619603,92.15409203,91.7100568,89.79807252
03/12/2020,91.49071668,90.54126583,93.07624383,90.85757551,91.20041372,89.80565883,91.25061401
03/13/2020,89.64323409,90.62246027,92.91942064,91.46810554,91.63586869,93.94707532,91.30408361
03/16/2020,90.16072467,91.65710496,93.23161948,91.80210801,90.34776887,92.10252083,91.17060679
03/17/2020,90.20599896,90.7365356,90.34250696,89.89502641,91.23163952,89.95259166,90.27597122
03/18/2020,92.39137676,89.79611763,90.82488629,93.76163066,91.83575001,92.20459738,90.05289755
03/19/2020,89.59062637,92.13392516,90.7700573,90.01737185,90.71055863,91.96377354,90.48882245
03/20/2020,90.06955093,92.46391998,91.11752048,89.64984427,89.47417525,91.32608087,89.81887575
03/23/2020,93.41509683,89.01106764,90.9345179,91.75468,90.1314314,93.34495931,92.86915958
03/24/2020,89.01017455,89.76795303,93.2548486,90.62964515,93.19778978,92.81558326,90.89978647
03/25/2020,89.97430602,90.80302122,89.90505707,92.60313489,89.18033756,89.16589726,91.03051352
03/26/2020,93.70298319,93.32861471,91.6129036,90.45404024,91.46629775,89.9558084,90.26843456
03/27/2020,89.57360337,89.12289574,89.59008637,92.71148313,93.57522295,92.64930452,92.42378514
03/30/2020,89.50974817,89.45653934,89.07509726,93.14194347,92.83840778,90.58815704,89.61932071
03/31/2020,92.17876246,93.88672633,93.86018137,91.64069853,93.30987868,93.75872114,90.63298685
04/01/2020,89.70582566,89.89009292,93.20682651,93.6383848,91.41241,93.25617841,91.87174275
04/02/2020,91.8117157,93.36961511,89.65301123,93.98807944,93.47318715,89.20271433,91.19486876
04/03/2020,90.86725533,92.24244301,91.75068617,92.66383035,93.0664611,90.10839554,91.54443653
04/06/2020,93.51882485,93.67636356,90.99276999,93.87711698,93.29678297,89.12040222,91.44087504
04/07/2020,91.36069445,93.58377191,93.75759734,90.39370884,90.8345365,91.62381019,90.51746293
04/08/2020,89.1989498,93.83637409,91.10996731,89.25716143,92.67374182,93.40127411,92.50743388
04/09/2020,91.33889066,93.41710436,90.98195304,90.2989325,89.41879018,91.99604603,93.02879351
04/10/2020,93.58349609,93.89605088,89.81931254,90.73167645,92.16442253,89.0699603,89.78356191
04/13/2020,93.37681282,89.09595343,93.72922724,93.93255941,92.628316,91.35025409,91.43830492
04/14/2020,93.84763039,89.15183173,92.14118164,92.35550897,91.55385088,90.94751773,89.92451062
04/15/2020,93.01212938,93.57299335,89.68352927,93.22259318,92.42253396,92.57114729,91.84233783
04/16/2020,93.21573964,92.68040274,91.88580012,89.22297931,90.77322239,89.92621877,89.15812694
04/17/2020,93.94830156,92.24738849,91.72385489,93.31093098,92.31850959,93.7775547,92.26981038
04/20/2020,89.80741233,89.18006976,92.01568629,93.54417076,89.61396609,90.70496191,92.70637918
04/21/2020,93.77538273,89.17425576,90.02879985,92.40961273,89.49009887,90.18904515,91.93263723
04/22/2020,90.85647646,92.29730203,92.72923371,90.04213939,93.58374411,89.44706457,93.40324138
04/23/2020,90.7163527,91.98396576,90.14356554,89.99835692,92.31457298,92.89440578,90.29515447
04/24/2020,93.4244988,90.0019554,90.00338606,92.21003776,91.62501478,92.50709439,91.2380346
04/27/2020,91.80016707,91.48689791,93.43644459,92.21345533,92.50030249,92.20596497,93.74195924
04/28/2020,92.94142443,89.57191069,93.61392663,89.62638932,91.24060298,92.18109135,93.59771582
04/29/2020,93.18344601,89.02943898,93.80904055,91.04881784,91.50595996,91.94891815,92.29461014
04/30/2020,92.75542579,90.11676603,89.77117632,90.30663425,92.87615934,93.13151372,90.43455046
05/01/2020,89.88191981,89.92670203,91.4050942,90.26448805,91.02852935,92.25791915,93.62187747
05/04/2020,90.30580045,92.72908178,90.75693062,90.77200911,92.80524592,89.95392999,89.84387721
05/05/2020,89.13339989,92.98403227,89.23307402,93.32207766,90.17017618,92.58602599,89.22398739
05/06/2020,93.04341313,90.69033063,90.21512268,90.33092888,90.73384331,92.81096685,90.40160625
05/07/2020,89.96886817,89.28763803,90.57559788,91.11397465,92.20874072,90.23251865,91.25538943
05/08/2020,90.7255987,89.227844,92.39132826,89.40105224,93.08025948,89.51884903,91.9334473
05/11/2020,93.09168893,90.20831987,91.41334347,89.23496535,92.61918015,90.43392284,92.70276597
05/12/2020,89.5344116,89.92445315,93.14238259,89.52574234,89.55288993,92.14759276,89.04075542
05/13/2020,90.10337093,91.39603549,92.38453824,91.42291578,92.97646656,92.70975407,91.88383308
05/14/2020,89.21450893,93.55193302,92.62665346,92.87638042,93.0467696,91.55559745,90.44599832
05/15/2020,93.28250814,89.66242209,91.99054505,93.13501477,90.32474736,90.33705812,93.36969021
05/18/2020,92.3843731,92.6524865,92.54004461,90.95466389,89.27673599,93.01122663,89.36020201
05/19/2020,92.88966837,89.93242552,89.1998694,91.68465829,89.56871269,91.72687604,92.26508035
05/20/2020,93.57164473,89.99160348,93.05646694,89.45869926,91.88070484,91.09744107,93.68579795
05/21/2020,90.06459311,93.5786813,89.43437729,93.411694,92.19950231,90.67794907,89.51373563
05/22/2020,89.703123,90.76644356,89.41142697,92.28444961,92.61748103,90.28677684,91.41176072
05/25/2020,91.27241148,90.11909301,90.55078927,93.92210781,89.63940147,93.82206864,92.83906701
05/26/2020,89.14778217,91.87199621,92.09607975,92.49818281,91.44558985,91.39070625,91.63281491
05/27/2020,89.63495484,93.10759078,90.6956167,89.3932097,89.88889366,89.65047422,93.42238597
05/28/2020,93.89415891,93.29542381,93.8200698,92.13349,92.79384205,93.71214917,90.29189678
05/29/2020,89.66649939,91.942095,89.5286369,92.57783848,92.46304086,91.9117649,91.28634528
06/01/2020,92.88832192,91.31605515,90.32511014,89.74143545,91.33963173,90.63466984,89.41715512
06/02/2020,91.72197947,89.92163764,89.78712324,89.49698186,91.54840545,93.27183448,89.23133641
06/03/2020,93.48548854,93.38382237,90.39905097,91.99987736,92.91479823,93.85724374,91.94047115
06/04/2020,89.56328951,92.04933225,92.85254337,90.95273736,93.85937095,89.09840606,90.98957245
06/05/2020,90.31498261,89.66100107,90.64191673,89.53588338,93.95221443,89.12620243,91.06467791
06/08/2020,92.71155206,92.74496136,92.20122083,89.29448306,90.93256225,91.0604918,93.42163127
06/09/2020,91.05790071,92.14015832,93.19266126,91.01842077,89.46055291,92.78793667,90.44495059
06/10/2020,89.52966379,89.28932073,93.16201859,93.17299336,90.1294296,93.63427205,93.41792663
06/11/2020,90.46314543,91.77943908,91.31284043,89.99354051,90.06487636,90.47939635,90.6439822
06/12/2020,89.80553235,93.77323826,89.40116356,90.02934524,92.22797682,91.58639392,92.4919857
06/15/2020,90.52543137,90.97347834,92.00917439,91.36376617,89.91701963,89.4136043,92.20798587
06/16/2020,89.86410814,93.85981309,93.30997885,92.61695849,93.13159256,89.63656619,93.96584185
06/17/2020,93.31664637,91.24933248,92.53542725,91.85013289,93.19063949,90.09843199,92.61758778
06/18/2020,90.92924731,89.73326082,91.56034488,91.16749559,89.23545887,91.57641742,93.32396347
06/19/2020,89.10210811,90.49495601,90.070153,91.74770326,92.11806013,93.97453962,91.05615435
06/22/2020,93.00552965,89.01055486,93.0363387,90.34062698,92.82412903,91.19746716,89.25288
06/23/2020,89.4344661,91.72387714,92.39045791,90.84995814,91.58277733,89.43675728,92.94512426
06/24/2020,89.54409821,89.64452998,92.11272708,91.75003368,92.18733802,92.28761298,91.96454779
06/25/2020,91.9429725,89.30040349,93.53742636,90.70870281,91.24352743,89.46654689,92.86793
06/26/2020,93.21817772,92.682796,92.54922182,92.7007451,89.27469239,91.78815819,91.77523634
06/29/2020,93.83372622,93.77108916,93.71863979,91.62910075,89.84484825,91.97913872,89.05218326
06/30/2020,89.13109421,92.09863497,89.89422191,91.84258925,93.29378499,90.6528511,90.88608109
07/01/2020,90.50562882,92.42099549,93.76166609,90.03553179,91.56733335,90.98950125,92.54314874
07/02/2020,92.32513625,91.75083939,90.66174306,91.53013558,92.78572833,92.18114745,93.93552558
07/03/2020,90.78209421,92.29567325,90.91221846,89.45420731,90.34787222,89.18492826,89.37233028
07/06/2020,93.99175911,90.52910311,91.42887462,92.18286414,90.68231838,89.6492139,90.33650425
07/07/2020,89.74234449,91.17519191,90.90609405,93.03855513,92.10168801,91.30700948,91.3866384
07/08/2020,92.35673122,91.53519937,89.24273274,90.48220729,93.60273216,90.08833516,93.835216
07/09/2020,89.97603482,90.28083648,92.38356719,90.02196336,89.74625255,89.16115452,91.67439458
07/10/2020,91.96275058,93.84475585,90.30308251,91.92376948,91.80874522,89.71996763,91.64008655
07/13/2020,93.99967839,90.19280697,92.28406558,89.77395983,90.06068753,93.21975876,90.3263327
